num_dashers,num_tasks,ratio_dashers_tasks,num_events,total_reward,pct_total_possible_reward
10,750,0.013333333333333334,1925,1051,56.535771920387305
50,750,0.06666666666666667,6071,1719,91.72892209178228
100,750,0.13333333333333333,13303,1848,98.40255591054313
200,750,0.26666666666666666,27287,1840,97.25158562367865
300,750,0.4,40962,1860,99.51845906902086
400,750,0.5333333333333333,55924,1823,99.67195188627666
500,750,0.6666666666666666,70456,1839,99.72885032537961
750,750,1.0,105476,1864,100.0
10,1500,0.006666666666666667,3837,1477,39.344698987746405
50,1500,0.03333333333333333,5844,3361,88.86832363828661
100,1500,0.06666666666666667,12417,3761,98.53287922452188
200,1500,0.13333333333333333,25372,3639,98.7516960651289
300,1500,0.2,40219,3681,98.08153477218225
400,1500,0.26666666666666666,53814,3658,99.86349986349985
500,1500,0.3333333333333333,68146,3717,99.86566362170876
750,1500,0.5,104169,3724,100.0
10,2250,0.0044444444444444444,4433,1624,29.010360843158274
50,2250,0.022222222222222223,6984,4633,82.70260621206712
100,2250,0.044444444444444446,10941,5418,97.20129171151775
200,2250,0.08888888888888889,24507,5562,97.95702712222614
300,2250,0.13333333333333333,38593,5571,98.74158099964552
400,2250,0.17777777777777778,52839,5568,99.12764821078868
500,2250,0.2222222222222222,67067,5540,99.2831541218638
750,2250,0.3333333333333333,102567,5533,99.81959227854952
10,3000,0.0033333333333333335,6088,2274,30.48666041024266
50,3000,0.016666666666666666,11749,5480,73.3306570319818
100,3000,0.03333333333333333,11029,6934,92.92414902171001
200,3000,0.06666666666666667,22582,7329,97.92891501870658
300,3000,0.1,37564,7381,98.99409871244636
400,3000,0.13333333333333333,51973,7388,99.39459168572581
500,3000,0.16666666666666666,65394,7447,99.00292475405477
750,3000,0.25,101369,7448,99.69214295275064
10,3750,0.0026666666666666666,5820,2243,24.014989293361886
50,3750,0.013333333333333334,14610,6164,65.99571734475374
100,3750,0.02666666666666667,12989,8531,91.33832976445396
200,3750,0.05333333333333334,22252,9049,96.88436830835117
300,3750,0.08,36083,9176,98.2441113490364
400,3750,0.10666666666666667,50942,9170,98.17987152034262
500,3750,0.13333333333333333,64410,9267,99.21841541755889
750,3750,0.2,99915,9301,99.58244111349036
